id,Znamka,Model,Letnik,Tip motorja,Prevoženi kilometri,ccm,kW,Menjalnik,Cena
13596540,Citroen,Xsara 1.4i,1998,bencinski motor,162000,1360,55,ročni menjalnik (5 pr.),150
13596604,Saab,9-3 Linear 2.2 TiD,2004,diesel motor,240000,2171,92,ročni menjalnik (5 pr.),500
13596607,BMW,serija 7: 730d Avt. SPORT 245ks XENO...,2009,diesel motor,343300,2993,180,avtomatski menjalnik,18999
13596613,Mercedes-Benz,190 D,1986,diesel motor,230000,1997,53,ročni menjalnik (4 pr.),3500
13596706,Honda,Civic Sedan 1.6 VTi VTEC,1996,bencinski motor,240000,1595,118,ročni menjalnik (5 pr.),3300
13596865,Alfa Romeo,159 1.9 JTDM,2007,diesel motor,112500,1910,88,ročni menjalnik (6 pr.),6300
13596921,Jaguar,S-Type 3.0 V6 ,2000,bencinski motor,30000,,175,ročni menjalnik (5 pr.),1000
13596993,Nissan,Primera 1.6 SLX,1999,bencinski motor,203000,1597,73,ročni menjalnik (5 pr.),690
13597059,Audi,RS4 4.2 quattro,2008,bencinski motor,120190,4163,309,ročni menjalnik (6 pr.),29990
13597069,Chevrolet,Cruze 1.6 16V 1 LASTNIK,2011,bencinski motor,66000,1598,91,ročni menjalnik (5 pr.),5990
13597089,Mercedes-Benz,E-Razred E 220 CDI Avantga...,2002,diesel motor,257300,2148,110,ročni menjalnik (6 pr.),3750
13597090,BMW,serija 5: 530,2006,diesel motor,310000,,160,avtomatski menjalnik,6000
13597091,Mercedes-Benz,E-Razred 220 ,2002,diesel motor,170000,2151,105,ročni menjalnik (6 pr.),2880
13597101,Ford,Mondeo 1.8i Ghia,2006,bencinski motor,220070,1798,92,ročni menjalnik (5 pr.),1450
13597120,Renault,Thalia 1.4-KOT NOV-SAMO 70000 KM...,2003,bencinski motor,70000,1390,55,ročni menjalnik (5 pr.),1750
13597124,Ford,Focus ,2001,bencinski motor,280000,,75,ročni menjalnik (5 pr.),550
13597277,Renault,Fluence 1.6 16V Sport Way - SLO....,2012,bencinski motor,49600,1598,81,ročni menjalnik (5 pr.),7700
13597331,Mercedes-Benz,E-Razred E 200 CDI Avantga...,2009,diesel motor,275000,2148,100,ročni menjalnik (6 pr.),7700
13597342,Mercedes-Benz,E-Razred E 230,1998,bencinski motor + plin,560000,,110,ročni menjalnik (5 pr.),900
13597387,Audi,A8 quattro 3.0 V6 TDI Tiptronic,2005,diesel motor,352000,2967,155,avtomatski menjalnik,10990
13597476,Mercedes-Benz,E-Razred E 300 TD Elegance...,1998,diesel motor,350000,2996,130,avtomatski menjalnik,4500
13597484,Fiat,Tipo 1.6 sx,1995,bencinski motor,174265,,55,ročni menjalnik (5 pr.),250
13597488,Mercedes-Benz,E-Razred E 280 CDI Avantga...,2005,diesel motor,352000,3222,130,avtomatski menjalnik / tiptronic,5700
13597497,Volkswagen,Jetta 1.6 TDI Comfortline,2013,diesel motor,85540,1598,77,ročni menjalnik (5 pr.),9500
13597591,BMW,serija 5: 518d Avt. LIMUZINA Bi-XENO...,2014,diesel motor,129490,1995,110,avtomatski menjalnik,19990
13597643,Audi,A6 quattro 3.0 V6 TDI Tiptronic,2005,diesel motor,290000,2967,165,avtomatski menjalnik / tiptronic,6500
13597664,Volvo,S60 D4 Momentum BUSSINES-NAVI,2015,diesel motor,49747,1969,140,ročni menjalnik (6 pr.),16990
13597667,Mercedes-Benz,C-Razred C 200 CDI-AMG PAK...,2012,diesel motor,91000,2143,100,ročni menjalnik (6 pr.),16450
13597690,koda,Superb 1.6 TDI Style DSG. NAVI. AP...,2016,diesel motor,170000,1598,88,avtomatski menjalnik,16450
13597736,Volkswagen,Passat 1.9 TDI Trendline,2008,diesel motor,254000,1896,77,ročni menjalnik (5 pr.),4999
13597744,BMW,serija 3: 320d xDrive GT Led Xenon N...,2015,diesel motor,127000,1995,140,avtomatski menjalnik,24000
13597772,Lexus,IS 220d Sport SLO-XENON-2XPDC-ALU1...,2008,diesel motor,184338,2231,130,ročni menjalnik (6 pr.),6980
13597795,Audi,80 1.6,1991,bencinski motor,188000,1595,51,ročni menjalnik (5 pr.),2500
13597894,Hyundai,Elantra 1.6 GL,2006,bencinski motor,148250,1599,77,ročni menjalnik (5 pr.),2500
13597923,Hyundai,Elantra 1.6 CVVT Comfort,2004,bencinski motor,170000,1591,94,ročni menjalnik (5 pr.),500
13597950,Mercedes-Benz,C-Razred C BlueEFFICIENCY ...,2010,diesel motor,170000,2143,100,ročni menjalnik (6 pr.),10990
13598101,Buick,- Le sabre,1965,bencinski motor,53000,5000,172,avtomatski menjalnik,9300
13598135,Chevrolet,Aveo 1.2 16V-SLOVENSKO VOZILO-...,2011,bencinski motor,91216,1206,62,ročni menjalnik (5 pr.),3490
13598152,Volkswagen,Polo ,1999,bencinski motor,120000,,37,ročni menjalnik (5 pr.),500
13598257,Kia,Rio 1.4-HITRI KREDIT BREZ POLOGA-SLO...,2006,bencinski motor,123447,1399,71,ročni menjalnik (5 pr.),2390
13598300,Opel,Astra 1.7 -HITRI KREDIT BREZ POLOGA,2003,diesel motor,231645,1686,55,ročni menjalnik (5 pr.),1190
13598305,Volkswagen,Passat 2.0 TDI DPF Comfortlin...,2007,diesel motor,350000,1968,103,ročni menjalnik (6 pr.),5750
